House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Ketu,,Venus,Sun Mercury,Mars,,Rahu,,,Saturn,Jupiter,Moon
Moon Ketu,,Venus,Sun Mercury,Mars,,Rahu,,,Jupiter Saturn,,
Moon Ketu,,Venus,Sun Mercury,Mars,,Rahu,,,Jupiter Saturn,,
Ketu,Moon,Venus,Sun Mercury,Mars,,Rahu,,,Jupiter Saturn,,
Ketu,Moon,Venus,Sun Mercury,Mars,,Rahu,,Saturn,Jupiter,,
Ketu,Moon,Mercury Venus,Sun,Mars,,Rahu,,Saturn,Jupiter,,
Ketu,,Moon Mercury Venus,Sun,Mars,,Rahu,,Saturn,Jupiter,,
Ketu,,Moon Mercury Venus,Sun,Mars,,Rahu,,Saturn,Jupiter,,
Ketu,,Moon Mercury Venus,Sun,Mars,,Rahu,,Saturn,Jupiter,,
,,Mercury,Sun Moon Venus,Mars,Rahu,,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Moon Venus,Mars,Rahu,,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Moon Mars,Rahu,,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Moon Mars,Rahu,,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Moon Mars,Rahu,,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Moon Rahu,,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Moon Rahu,,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Moon Rahu,,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,Moon,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,Moon,,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,Moon,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,Moon,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,Moon,Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,,Moon Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,,Moon Saturn,Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,,Saturn,Moon Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,,Saturn,Moon Jupiter,,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,,Saturn,Jupiter,Moon,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,,Saturn,Jupiter,Moon,Ketu
,,Mercury,Sun Venus,Mars,Rahu,,,Saturn,Jupiter,,Moon Ketu
,,Mercury,Sun Venus,Mars,Rahu,,,Saturn,Jupiter,,Moon Ketu
Moon,,Mercury,Sun Venus,Mars,Rahu,,,Saturn,Jupiter,,Ketu
Moon,,Mercury,Sun Venus,Mars,Rahu,,,Jupiter Saturn,,,Ketu
Moon,,Mercury,Sun Venus,Mars,Rahu,,,Jupiter Saturn,,,Ketu
,Moon,Mercury,Sun Venus,Mars,Rahu,,,Jupiter Saturn,,,Ketu
,Moon,Mercury,Sun Venus,Mars,Rahu,,,Jupiter Saturn,,,Ketu
,,Moon,Sun Mercury Venus,Mars,Rahu,,,Jupiter Saturn,,,Ketu
,,Moon,Sun Mercury Venus,Mars,Rahu,,Saturn,Jupiter,,,Ketu
,,Moon,Sun Mercury Venus,Mars,Rahu,,Saturn,Jupiter,,,Ketu
,,,Sun Moon Mercury Venus,Mars,Rahu,,Saturn,Jupiter,,,Ketu
,,,Sun Moon Mercury Venus,Mars,Rahu,,Saturn,Jupiter,,,Ketu
,,,Sun Moon Mercury Venus,Mars,Rahu,,Saturn,Jupiter,,,Ketu
,,,Sun Mercury Venus,Moon Mars,Rahu,,Saturn,Jupiter,,,Ketu
,,,Sun Mercury Venus,Moon Mars Rahu,,,Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,Moon,,Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,Moon,,Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,Moon,,Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,Moon,Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,Moon,Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Moon Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Moon Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Moon Saturn,Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Saturn,Moon Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Saturn,Moon Jupiter,,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Saturn,Jupiter,Moon,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Saturn,Jupiter,Moon,Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Saturn,Jupiter,,Moon Ketu,
,,,Sun Mercury Venus,Mars Rahu,,,Saturn,Jupiter,,Moon Ketu,
