House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Moon Jupiter,,Ketu,Sun Mercury,Venus,Mars,,,Rahu,,Saturn,
Moon Jupiter,,Ketu,Sun Mercury,Venus,Mars,,,Rahu,,Saturn,
Jupiter,Moon,Ketu,Sun Mercury,Venus,Mars,,,Rahu,,Saturn,
Jupiter,Moon,Ketu,Sun Mercury,Venus Mars,,,,Rahu,,Saturn,
Jupiter,,Moon Ketu,Sun Mercury,Venus Mars,,,,Rahu,,Saturn,
Jupiter,,Moon Ketu,Sun Mercury,Venus Mars,,,,Rahu,,Saturn,
,Ketu,Moon,Sun Mercury,Venus Mars,,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Moon Mercury,Venus Mars,,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Moon Mercury,Venus Mars,,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Moon Mercury,Venus Mars,,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Moon Venus Mars,,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Moon Venus Mars,,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,Moon,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,Moon,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,Moon,,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,Moon,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,Moon,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,Moon,Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Moon Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Moon Rahu,,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,Moon,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,Moon,,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,Moon,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,Moon,Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,,Moon Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,,Moon Saturn,Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,,Saturn,Moon Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,,Saturn,Moon Jupiter
,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,,Saturn,Moon Jupiter
Moon,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,,Saturn,Jupiter
Moon,Ketu,,Sun Mercury,Venus Mars,,,Rahu,,Saturn,,Jupiter
,Moon Ketu,,Sun Mercury,Venus Mars,,,Rahu,,Saturn,,Jupiter
,Moon Ketu,,Sun Mercury,Venus Mars,,,Rahu,,Saturn,,Jupiter
,Moon Ketu,,Sun Mercury,Venus Mars,,,Rahu,,Saturn,,Jupiter
,Ketu,Moon,Sun Mercury,Venus Mars,,,Rahu,,Saturn,,Jupiter
,Ketu,Moon,Sun Mercury,Venus Mars,,,Rahu,,Saturn,,Jupiter
,Ketu,,Sun Moon Mercury,Venus Mars,,,Rahu,,Saturn,,Jupiter
,Ketu,,Sun Moon Mercury,Venus Mars,,,Rahu,,Saturn,,Jupiter
Ketu,,,Sun Moon Mercury,Venus Mars,,Rahu,,,Saturn,,Jupiter
Ketu,,,Sun Mercury,Moon Venus Mars,,Rahu,,,Saturn,,Jupiter
Ketu,,,Sun Mercury,Moon Venus Mars,,Rahu,,,Saturn,Jupiter,
Ketu,,,Sun Mercury,Moon Venus Mars,,Rahu,,,Saturn,Jupiter,
Ketu,,,Sun,Mercury Venus Mars,Moon,Rahu,,,Saturn,Jupiter,
Ketu,,,Sun,Mercury Venus Mars,Moon,Rahu,,,Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Moon Rahu,,,Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Moon Rahu,,,Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Moon Rahu,,,Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,Moon,,Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,Moon,,Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,,Moon,Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,,Moon,Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,,,Moon Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,,,Moon Saturn,Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,,,Saturn,Moon Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,,,Saturn,Moon Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,,,Saturn,Moon Jupiter,
Ketu,,,Sun Venus,Mercury Mars,,Rahu,,,Saturn,Jupiter,Moon
